participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
7,66,7.0,6.41375,16.225164578092773,448
7,72,5.0,6.191666666666666,15.8903407859283,449
7,77,2.0,4.186249999999999,16.015939655879855,450
7,78,2.0,7.779375,16.210678285677965,450
7,79,1.0,4.656875,15.664194031401612,451
7,81,8.0,9.245000000000001,16.703549155447984,451
7,82,3.0,7.922083333333334,16.28753082547491,450
7,83,5.0,3.5547916666666666,16.190373622764593,450
7,84,5.0,6.297083333333334,16.2449302170542,451
7,89,4.0,8.2025,16.57706975456238,415
7,96,3.0,8.430625,16.338010691125294,450
7,99,7.0,11.394166666666667,16.725670584769198,451
7,100,3.0,4.553541666666667,16.030822550171433,451
7,106,7.0,7.080208333333333,16.301426044121445,451
7,111,4.0,8.643333333333333,16.193932381198405,450
7,112,6.0,7.727708333333333,16.4150133386312,451
7,116,4.0,3.217916666666667,15.757937822772597,451
7,119,7.0,8.58125,16.27167658354399,451
7,121,4.0,4.612291666666667,15.686645349425593,450
7,125,5.0,6.821249999999999,16.079104089819396,450
7,128,3.0,8.212083333333334,15.995753603491018,450
7,129,8.0,2.9683333333333333,15.805502089448245,352
7,130,4.0,5.9799999999999995,15.814752602096563,451
7,138,6.0,5.475208333333334,15.880065214232522,450
7,139,3.0,8.527291666666667,16.259839437396227,450
7,141,2.0,6.70625,16.51768481377008,451
7,145,6.0,10.367708333333333,17.05572556266586,451
7,148,7.0,7.825625,16.049642205558534,450
8,2,7.0,8.457291666666666,16.467529713198303,451
8,6,4.0,11.106666666666666,16.575507630496176,451
8,16,1.0,7.655625000000001,16.247177568651434,451
8,19,8.0,8.6875,16.538679769928688,450
8,23,5.0,8.500416666666668,16.255815328195474,450
8,28,8.0,7.368125,16.291835484161336,450
8,32,8.0,11.408333333333333,16.717020311254018,451
8,37,5.0,15.027291666666667,17.028186524187912,451
8,38,2.0,12.24,16.957277056500505,448
8,41,2.0,6.759791666666666,16.62082595811742,451
8,42,8.0,7.2768749999999995,16.225604447292394,450
8,46,7.0,5.713958333333333,16.57493047079864,451
8,47,8.0,11.331458333333334,16.773416156769276,450
8,51,4.0,7.2749999999999995,16.310595284227116,450
8,56,3.0,7.892083333333333,16.59165130113369,451
8,65,1.0,2.5035416666666666,16.308332313931366,451
8,67,4.0,4.6691666666666665,16.190465401532588,450
8,68,1.0,7.956874999999999,16.25019948626762,451
8,69,3.0,10.4,16.47002123210451,451
8,70,1.0,9.096458333333333,16.612469548399545,450
8,71,3.0,5.090208333333333,15.71661202408565,435
8,72,7.0,6.824583333333334,16.203033190672162,451
8,77,1.0,1.484375,16.01314468618726,451
8,78,2.0,4.994583333333334,15.506677733252285,451
8,84,2.0,7.142083333333334,16.477109437760145,427
8,85,2.0,2.4941666666666666,16.149924911163136,451
8,86,3.0,9.642916666666666,16.238303976696628,450
8,87,4.0,11.663541666666667,16.680069536639714,450
8,90,9.0,10.216875,17.103987885889236,450
8,96,1.0,1.8358333333333334,15.206667569766115,451
8,97,2.0,9.5875,16.570166045385847,451
8,101,4.0,5.298541666666667,16.09849054720469,451
8,102,6.0,8.822291666666667,16.61964112284471,450
8,109,1.0,9.577708333333334,17.040778016943584,451
8,110,4.0,9.231666666666667,16.252147113887972,451
8,114,2.0,7.760833333333333,16.635525102745586,451
8,117,1.0,3.277708333333333,16.534255933842285,440
8,118,6.0,11.792083333333334,16.63357920812226,451
8,120,6.0,5.02125,15.840370970231072,451
8,123,7.0,8.463750000000001,17.05961928109377,429
8,124,7.0,10.068541666666667,16.77248189625988,443
8,128,3.0,5.7006250000000005,16.271634999093795,444
8,131,5.0,12.643125,17.151216696250604,451
8,132,6.0,8.465208333333333,16.421215213075477,451
8,137,3.0,1.401875,15.868785944815754,450
8,139,3.0,3.47125,16.172269048010065,451
